Fecha,TIIE
1/1/2000,18.42666667
1/1/2001,18.39555556
1/1/2002,7.841666667
1/1/2003,8.807222222
1/1/2004,5.6511
1/1/2005,8.948
1/1/2006,8.5355
1/1/2007,7.366333333
1/1/2008,7.927877778
1/1/2009,8.681144444
1/1/2010,4.917066667
1/1/2011,4.86066
1/1/2012,4.79062
1/1/2013,4.8453
1/1/2014,3.795888889
1/1/2015,3.307455556
1/1/2016,3.555922222
1/1/2017,6.1155
1/1/2018,7.628411111
1/1/2019,8.589944444
1/1/2020,7.545866667
1/1/2021,4.476877778
1/2/2000,18.57166667
1/2/2001,18.32888889
1/2/2002,9.017222222
1/2/2003,9.922222222
1/2/2004,5.394988889
1/2/2005,9.4155
1/2/2006,8.07
1/2/2007,7.456944444
1/2/2008,7.923288889
1/2/2009,7.998055556
1/2/2010,4.885677778
1/2/2011,4.840555556
1/2/2012,4.786244444
1/2/2013,4.829022222
1/2/2014,3.777911111
1/2/2015,3.296055556
1/2/2016,3.5577
1/2/2017,6.263777778
1/2/2018,7.729788889
1/2/2019,8.580055556
1/2/2020,7.484933333
1/2/2021,4.445922222
1/3/2000,16.69888889
1/3/2001,17.395
1/3/2002,8.2505
1/3/2003,10.383
1/3/2004,6.448
1/3/2005,9.721
1/3/2006,7.75075
1/3/2007,7.45687
1/3/2008,7.9273
1/3/2009,7.9075
1/3/2010,4.919
1/3/2011,4.84323
1/3/2012,4.77193
1/3/2013,4.60155
1/3/2014,3.7976
1/3/2015,3.29936
1/3/2016,4.06063
1/3/2017,6.60864
1/3/2018,7.83019
1/3/2019,8.52475
1/3/2020,7.24573
1/3/2021,4.283
1/4/2000,14.59166667
1/4/2001,16.765625
1/4/2002,7.279
1/4/2003,9.1945
1/4/2004,6.191875
1/4/2005,9.9675
1/4/2006,7.59625
1/4/2007,7.45575
1/4/2008,7.9358
1/4/2009,6.9996875
1/4/2010,4.9191625
1/4/2011,4.84056
1/4/2012,4.758375
1/4/2013,4.34031
1/4/2014,3.80842
1/4/2015,3.3009
1/4/2016,4.06381
1/4/2017,6.8478125
1/4/2018,7.8457
1/4/2019,8.49872
1/4/2020,6.6819375
1/4/2021,4.2879375
1/5/2000,15.334375
1/5/2001,15.35194444
1/5/2002,7.498888889
1/5/2003,6.238333333
1/5/2004,6.94235
1/5/2005,10.1815
1/5/2006,7.308333333
1/5/2007,7.698322222
1/5/2008,7.934433333
1/5/2009,6.050833333
1/5/2010,4.93475
1/5/2011,4.84638
1/5/2012,4.759066667
1/5/2013,4.3238
1/5/2014,3.801177778
1/5/2015,3.301911111
1/5/2016,4.06271
1/5/2017,6.8937
1/5/2018,7.840788889
1/5/2019,8.506866667
1/5/2020,6.234044444
1/5/2021,4.2857
1/6/2000,16.85666667
1/6/2006,7.339
1/6/2007,7.70385
1/6/2008,7.92561
1/6/2009,5.37406
1/6/2010,4.9375
1/6/2011,4.85313
1/6/2012,4.76113
1/6/2013,4.29897
1/6/2014,3.55907
1/6/2015,3.30558
1/6/2016,4.0938
1/6/2017,7.16375
1/6/2018,7.86503
1/6/2019,8.51298
1/6/2020,5.71215
1/6/2021,4.28274
1/7/2000,15.76
1/7/2006,7.3165
1/7/2007,7.70345
1/7/2008,8.17385
1/7/2009,4.97143
1/7/2010,4.92421
1/7/2011,4.83711
1/7/2012,4.77256
1/7/2013,4.31763
1/7/2014,3.30191
1/7/2015,3.29944
1/7/2016,4.52828
1/7/2017,7.36114
1/7/2018,8.10564
1/7/2019,8.47761
1/7/2020,5.25369
1/7/2021,4.52545
1/8/2000,16.40722222
1/8/2006,7.3145
1/8/2007,7.712
1/8/2008,8.45725
1/8/2009,4.89189
1/8/2010,4.90699
1/8/2011,4.81475
1/8/2012,4.78483
1/8/2013,4.31194
1/8/2014,3.29998
1/8/2015,3.31042
1/8/2016,4.58679
1/8/2017,7.37621
1/8/2018,8.10428
1/8/2019,8.45066
1/8/2020,5.1687
1/8/2021,4.5156
1/9/2000,16.3964
1/9/2006,7.30539
1/9/2007,7.71062
1/9/2008,8.661
1/9/2009,4.90286
1/9/2010,4.90403
1/9/2011,4.77045
1/9/2012,4.79734
1/9/2013,4.1734
1/9/2014,3.2898
1/9/2015,3.33863
1/9/2016,4.59316
1/9/2017,7.37389
1/9/2018,8.10825
1/9/2019,8.229
1/9/2020,4.75771
1/10/2000,16.84555556
1/10/2006,7.31909
1/10/2007,7.70325
1/10/2008,8.67125
1/10/2009,4.92924
1/10/2010,4.88343
1/10/2011,4.7911
1/10/2012,4.81024
1/10/2013,4.02686
1/10/2014,3.29541
1/10/2015,3.31162
1/10/2016,5.10166
1/10/2017,7.37656
1/10/2018,8.11441
1/10/2019,8.00862
1/10/2020,4.54227
1/11/2000,18.29071429
1/11/2006,7.300133333
1/11/2007,7.934411111
1/11/2008,8.73125
1/11/2009,4.928288889
1/11/2010,4.864055556
1/11/2011,4.797422222
1/11/2012,4.841022222
1/11/2013,3.78294
1/11/2014,3.28318
1/11/2015,3.306988889
1/11/2016,5.1517
1/11/2017,7.379611111
1/11/2018,8.177111111
1/11/2019,7.94619
1/11/2020,4.504544444
1/12/2000,18.48416667
1/12/2006,7.3305
1/12/2007,7.933455556
1/12/2008,8.759444444
1/12/2009,4.93637
1/12/2010,4.8849
1/12/2011,4.800555556
1/12/2012,4.840422222
1/12/2013,3.788777778
1/12/2014,3.2949
1/12/2015,3.34004
1/12/2016,5.594722222
1/12/2017,7.401633333
1/12/2018,8.341655556
1/12/2019,7.766411111
1/12/2020,4.48292
15/01/2001,18.77384615
15/01/2002,8.054615385
15/01/2003,9.376153846
